Ticket,Product,tag_int
50656,VD 202Mat 20x4x12,50656.0
50657,VD 202Mat 20x4x12,50657.0
50658,VD 202Mat 20x4x12,50658.0
50659,VD 202Mat 20x4x12,50659.0
50660,VD 202Mat 20x4x12,50660.0
50668,IS CMat16 12x12,50668.0
50669,IS CMat16 6x8,50669.0
50670,IS CMat16 8x8,50670.0
50671,IS CMat16 6x8,50671.0
50672,IS CMat24 8x12,50672.0
50673,IS CMat24 8x10,50673.0
50674,IS CMat24 8x8,50674.0
50675,IS Cmat22 8x10,50675.0
50676,IS Cmat22 8x8,50676.0
50677,IS CMat18 8x10,50677.0
50678,IS CMat18 8x8,50678.0
50679,IS CMat18 6x8,50679.0
50688,VD Crossties9 7x9,50688.0
50692,VD PAL8 1.5x6 (6bf ea),50692.0
50696,VD Ties16,50696.0
50703,VD 162Mat 16x4x12,50703.0
50707,VD 162Mat 16x4x12,50707.0
50708,VD 162Mat 16x4x12,50708.0
50709,VD 162Mat 16x4x12,50709.0
50710,VD 122Mat 12x4x12,50710.0
50711,VD 122Mat 12x4x12,50711.0
50712,VD 122Mat 12x4x12,50712.0
50713,VD 122Mat 12x4x12,50713.0
50714,VD 122Mat 12x4x12,50714.0
50715,VD 122Mat 12x4x12,50715.0
50716,VD VD 122Mat 12x4x12,50716.0
50717,VD 122Mat 12x4x12,50717.0
50718,VD 122Mat 12x4x12,50718.0
50720,VD 168Mat 16x4x8,50720.0
50721,VD 168Mat 16x4x8,50721.0
50722,VD 168Mat 16x4x8,50722.0
50723,VD 168Mat 16x4x8,50723.0
50724,VD 168Mat 16x4x8,50724.0
50742,188Mat 18x4x8,50742.0
50776,202Mat 20x4x12,50776.0
50777,202Mat 20x4x12,50777.0
50778,VD 202Mat 20x4x12,50778.0
50779,202Mat 20x4x12,50779.0
50780,202Mat 20x4x12,50780.0
50781,202Mat 20x4x12,50781.0
50782,202Mat 20x4x12,50782.0
50783,202Mat 20x4x12,50783.0
50784,202Mat 20x4x12,50784.0
50786,IS CMat16 12x12,50786.0
50787,IS CMat16 10x12,50787.0
50788,IS CMat16 8x12,50788.0
50789,IS CMat16 8x10,50789.0
50790,IS CMat16 8x8,50790.0
50791,IS CMat16 6x8,50791.0
50792,IS CMat14 8x8,50792.0
